source,target,generated,similarity,confidence
"2.1.1.1
2차 출처 주요 데이터········································································································································ 25","2.1.1.1 
Key data from secondary sources ....................................................................... 25","2.1.1.1  
2차 출처 주요 데이터········································································································································ 25",0.7638571,0.95
"2.1.2
1차 데이터························································································································································ 26","2.1.2 
PRIMARY DATA ............................................................................................................... 26","2.1.2  
1차 데이터························································································································································ 26",0.8764293,0.95
"2.1.2.1
1차 출처 주요 데이터········································································································································ 27","2.1.2.1 
Key data from primary sources ........................................................................... 27","2.1.2.1  
1차 출처 주요 데이터········································································································································ 27",0.8043384,0.95
"2.1.2.2
주요 산업 인사이트················································································································································ 28","2.1.2.2 
Key industry insights .......................................................................................... 28","2.1.2.2  
주요 산업 인사이트················································································································································ 28",0.8853476,0.95
"2.2
시장 규모 예측·························································································································································· 29","2.2 
MARKET SIZE ESTIMATION ............................................................................................................ 29","2.2  
시장 규모 예측·························································································································································· 29",0.78477556,0.95
"2.3
한계······························································································································································· 32","2.3 
LIMITATIONS ................................................................................................................................ 32","2.3  
한계······························································································································································· 32",0.8872131,0.95
"2.4
시장 분석 및 데이터 삼각검증···································································································································· 32","2.4 
MARKET BREAKDOWN & DATA TRIANGULATION ............................................................................ 32","2.4  
시장 분석 및 데이터 삼각 검증···································································································································· 32",0.77194357,0.95
"2.5
시장 점유율 분석······················································································································································ 33","2.5 
MARKET SHARE ANALYSIS ............................................................................................................ 33","2.5  
시장 점유율 분석······················································································································································ 33",0.7683774,0.95
"3
주요 요약................................................................ 34","3 
EXECUTIVE SUMMARY .............................................................................................. 34","3  
주요 요약................................................................ 34",0.89940107,0.95
"4
프리미엄 인사이트................................................................ 37","4 
PREMIUM INSIGHTS ................................................................................................ 37","4  
프리미엄 인사이트................................................................. 37",0.8276844,0.95
"4.1
동물용 기생충 구충제: 시장 개요................................................................ 37","4.1 
ANIMAL PARASITICIDES: MARKET OVERVIEW ................................................................................ 37","4.1  
동물용 기생충 구충제: 시장 개요................................................................ 37",0.8357247,0.95
"4.2
아시아태평양: 동물용 기생충 구충제 시장, 유형별&국가별(2019) ..................................................... 38","4.2 
ASIA PACIFIC: ANIMAL PARASITICIDES MARKET, BY TYPE & COUNTRY (2019) ................................ 38","4.2  
아시아태평양: 동물용 기생충 구충제 시장, 유형별 및 국가별(2019) ..................................................... 38",0.90801156,0.95
"4.3
동물용 기생충 구충제 시장: 지역별 성장기회................................................................ 39","4.3 
ANIMAL PARASITICIDES MARKET: GEOGRAPHIC GROWTH OPPORTUNITIES ................................... 39","4.3  
동물용 기생충 구충제 시장: 지역별 성장 기회................................................................ 39",0.83498204,0.95
"4.4
동물용 기생충 구충제 시장: 지역별 비교................................................................ 39","4.4 
ANIMAL PARASITICIDES MARKET: GEOGRAPHIC MIX ..................................................................... 39","4.4  
동물용 기생충 구충제 시장: 지역별 비교................................................................ 39",0.86723685,0.95
"4.5
동물용 기생충 구충제 시장: 개발도상국 VS. 선진국................................................................ 40","4.5 
ANIMAL PARASITICIDES MARKET: DEVELOPING VS. DEVELOPED COUNTRIES ................................ 40","4.5  
동물용 기생충 구충제 시장: 개발도상국 대 선진국................................................................ 40",0.8571584,0.95
"5
시장 개요................................................................ 41","5 
MARKET OVERVIEW .................................................................................................. 41","5  
시장 개요................................................................ 41",0.72642577,0.95
"5.1
서론................................................................ 41","5.1 
INTRODUCTION ............................................................................................................................ 41","5.1  
서론................................................................ 41",0.9431955,0.95
"5.2
시장 역학................................................................ 41","5.2 
MARKET DYNAMICS...................................................................................................................... 41","5.2  
시장 역학................................................................ 41",0.78742874,0.95
"5.2.1
성장 촉진요인................................................................ 42","5.2.1 
DRIVERS ........................................................................................................................ 42","5.2.1  
성장 촉진 요인................................................................ 42",0.58098394,0.95
"5.2.1.1
동물성 식품에 대한 수요 증가................................................................ 42","5.2.1.1 
Rising demand for animal-derived food products ................................................ 42","5.2.1.1  
동물성 식품에 대한 수요 증가................................................................ 42",0.9439842,0.95
"5.2.1.2
민간기업의 투자 증가................................................................ 42","5.2.1.2 
Increasing investments from private players ....................................................... 42","5.2.1.2  
민간기업의 투자 증가................................................................ 42",0.91056746,0.95
"5.2.1.3
인수공통감염병에 대한 우려 증가................................................................ 43","5.2.1.3 
Growing concerns of zoonotic diseases .............................................................. 43","5.2.1.3  
인수공통감염병에 대한 우려 증가................................................................ 43",0.79848295,0.95
"5.2.1.4
동물 질병 확산 방지 규정................................................................ 43","5.2.1.4 
Regulations for preventing the spread of animal diseases ................................... 43","5.2.1.4  
동물 질병 확산 방지 규정................................................................ 43",0.9212707,0.95
"
5.2.1.5
반려동물 소유율 증가................................................................ 44","5.2.1.5 
Growing companion animal ownership rate ........................................................ 44","5.2.1.5  
반려동물 소유율 증가................................................................ 44",0.9043715,0.95
"
5.2.1.6
동물보건 비용 지출 증가................................................................ 44","5.2.1.6 
Rising animal health expenditure ....................................................................... 44","5.2.1.6  
동물보건 비용 지출 증가................................................................ 44",0.96299213,0.95
"
5.2.2
성장 억제요인................................................................ 45","5.2.2 
RESTRAINTS ................................................................................................................... 45","5.2.2  
성장 억제요인................................................................ 45",0.7561185,0.95
"
5.2.2.1
채식주의 식단으로의 전환................................................................ 45","5.2.2.1 
Shift toward vegetarian diets ............................................................................. 45","5.2.2.1  
채식주의 식단으로의 전환................................................................ 45",0.9028412,0.95
"
5.2.2.2
식용동물에 대한 구충제 사용 제한................................................................ 45","5.2.2.2 
Restrictions on the use of parasiticides in food-producing animals ..................... 45","5.2.2.2  
식용동물에 대한 구충제 사용 제한................................................................ 45",0.8344591,0.95
"
5.2.3
시장 기회................................................................ 45","5.2.3 
OPPORTUNITIES ............................................................................................................. 45","5.2.3  
시장 기회................................................................ 45",0.918205,0.95
"
5.2.3.1
신흥시장 기회................................................................ 45","5.2.3.1 
Opportunities in emerging markets .................................................................... 45","5.2.3.1  
신흥시장 기회................................................................ 45",0.660327,0.95
"
5.2.4
과제................................................................ 46","5.2.4 
CHALLENGES ................................................................................................................. 46","5.2.4  
과제................................................................ 46",0.94159627,0.95
"
5.2.4.1
구충제에 대한 내성 증가................................................................ 46","5.2.4.1 
Growing resistance to parasiticides .................................................................... 46","5.2.4.1  
구충제에 대한 내성 증가................................................................ 46",0.7879539,0.95
"
5.2.4.2
기생충 종의 다양성................................................................ 47","5.2.4.2 
Diversity of parasite species .............................................................................. 47","5.2.4.2  
기생충 종의 다양성................................................................ 47",0.91169745,0.95
"
5.3
산업 동향................................................................ 47","5.3 
INDUSTRY TRENDS ....................................................................................................................... 47","5.3  
산업 동향................................................................ 47",0.9128579,0.95
"
5.3.1
코로나19가 동물보건 산업에 미치는 영향................................................................ 47","5.3.1 
IMPACT OF COVID-19 ON THE ANIMAL HEALTH INDUSTRY ............................................... 47","5.3.1  
코로나19가 동물보건 산업에 미치는 영향................................................................ 47",0.8917824,0.95
"
5.3.2
동물보건 산업 내 합병................................................................ 47","5.3.2 
GROWING CONSOLIDATION IN THE ANIMAL HEALTH INDUSTRY ....................................... 47","5.3.2  
동물보건 산업 내 합병................................................................ 47",0.8331374,0.95
"6.2.2.1
주 시장성장 동인인 높은 약물이행도 및 관리의 용이성······························································································································································ 53","6.2.2.1 
High medication compliance and ease of administration are key 
growth drivers in this market .............................................................................. 53","6.2.2.1  
주 시장 성장 동인인 높은 약물이행도 및 관리의 용이성······························································································································································ 53",0.6086571,0.95
"6.2.3
스프레이···························································································································································································· 54","6.2.3 
SPRAYS ......................................................................................................................... 54","6.2.3  
스프레이···························································································································································································· 54",0.8398107,0.95
"6.2.3.1
저렴한 가격 및 편리성이 주도하는 시장 성장···················································································································································· 54","6.2.3.1 
Low price and convenience to drive market growth.............................................. 54","6.2.3.1  
저렴한 가격 및 편리성이 주도하는 시장 성장",0.8485702,0.95
"6.2.4
딥········································································································································································································· 55","6.2.4 
DIPS .............................................................................................................................. 55","6.2.4  
딥········································································································································································································· 55",0.8298918,0.95
"6.2.5
이어태그···························································································································································································· 56","6.2.5 
EAR TAGS ....................................................................................................................... 56","6.2.5  
이어태그···························································································································································································· 56",0.7321197,0.95
"6.2.6
칼라········································································································································································································· 57","6.2.6 
COLLARS ....................................................................................................................... 57","6.2.6  
칼라········································································································································································································· 57",0.82344496,0.95
"6.3
내부 기생충 구충제···································································································································································································································· 59","6.3 
ENDOPARASITICIDES ................................................................................................................... 59","6.3  
내부 기생충 구충제",0.4297892,0.95
"6.3.1
 구강액················································································································································································································ 61","6.3.1 
ORAL LIQUIDS ................................................................................................................ 61","6.3.1  
구강액················································································································································································································ 61",0.7313715,0.95
"6.3.2
 경구 고체············································································································································································································································ 62","6.3.2 
ORAL SOLIDS ................................................................................................................. 62","6.3.2  
경구 고체···················································································································································································································································· 62",0.7709112,0.95
"6.3.3
 주사제···································································································································································································································· 63","6.3.3 
INJECTABLES ................................................................................................................. 63","6.3.3  
주사제 63",0.6888241,0.95
2020년 5월 © MarketsandMarkets™,MAY 2020 © MarketsandMarkets™,2020년 5월 © MarketsandMarkets™,0.9933447,0.95
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망,0.84350336,0.95
"6.3.4
 사료 첨가제............................................................................................................. 64","6.3.4 
FEED ADDITIVES ............................................................................................................. 64","6.3.4  
사료 첨가제............................................................................................................. 64",0.8594529,0.95
"6.3.4.1
대량의 동물에게 일시 투여 가능한 사료 첨가제.............................................................................................................. 64","6.3.4.1 
Feed additives can be administered to large numbers of animals  
at once .............................................................................................................. 64","6.3.4.1  
대량의 동물에게 일시 투여 가능한 사료 첨가제.............................................................................................................. 64",0.88665676,0.95
"6.3.5
 기타 내부 기생충 구충제.......................................................................................................... 65","6.3.5 
OTHER ENDOPARASITICIDES .......................................................................................... 65","6.3.5  
기타 내부 기생충 구충제.......................................................................................................... 65",0.83018696,0.95
"6.4
내외부 기생충 구충제............................................................................................................................ 66","6.4 
ENDECTOCIDES ............................................................................................................................ 66","6.4  
내외부 기생충 구충제............................................................................................................................ 66",0.85720235,0.85
"7
시장 분석 및 예측: 동물 유형별.................................................................................................................. 68","7 
ANIMAL PARASITICIDES MARKET, BY ANIMAL TYPE .................................................. 68",시장 분석 및 예측: 동물 유형별.................................................................................................................. 68,0.6811385,0.95
"7.1
서론............................................................................................................................................................ 69","7.1 
INTRODUCTION ............................................................................................................................ 69","7.1  
서론............................................................................................................................................................ 69",0.95543945,0.95
"7.2
반려동물................................................................................................................................................. 69","7.2 
COMPANION ANIMALS ................................................................................................................. 69","7.2  
반려동물................................................................................................................................................. 69",0.8970927,0.95
"7.2.1
개............................................................................................................................................ 71","7.2.1 
DOGS ............................................................................................................................ 71","7.2.1  
개............................................................................................................................................ 71",0.868453,0.95
"7.2.1.1
반려동물용 구충제 시장의 가장 큰 비중을 차지하는 개.......................................................................................................... 71","7.2.1.1 
Dogs accounted for the largest share of the animal parasiticides 
market for companion animals .......................................................................... 71","7.2.1.1  
반려동물용 구충제 시장의 가장 큰 비중을 차지하는 개.......................................................................................................... 71",0.8573264,0.95
"7.2.2
고양이.............................................................................................................................................. 72","7.2.2 
CATS .............................................................................................................................. 72","7.2.2  
고양이.............................................................................................................................................. 72",0.98403984,0.95
"7.2.2.1
기생충 감염에 대한 높은 취약성으로 인한 고양이 대상 제품에 대한 수요 증가................................................................... 72","7.2.2.1 
High vulnerability to parasitic infections has strengthened product 
demand in this segment .................................................................................... 72","7.2.2.1  
기생충 감염에 대한 높은 취약성으로 인한 고양이 대상 제품에 대한 수요 증가................................................................... 72",0.8201356,0.95
"7.2.3
말................................................................................................................................................. 73","7.2.3 
HORSES ......................................................................................................................... 73","7.2.3  
말................................................................................................................................................. 73",0.8871099,0.95
"7.2.3.1
말 기생충 관리에 대한 수요 증가로 인한 시장 성장.......................................................................................................... 73","7.2.3.1 
Rising need for equine parasitic control to drive market growth ........................... 73","7.2.3.1  
말 기생충 관리에 대한 수요 증가로 인한 시장 성장.......................................................................................................... 73",0.8312025,0.95
"7.2.4
기타 반려동물.......................................................................................................................................... 74","7.2.4 
OTHER COMPANION ANIMALS ........................................................................................ 74","7.2.4  
기타 반려동물.......................................................................................................................................... 74",0.87599933,0.95
"7.3
식용동물................................................................................................................................................. 74","7.3 
FOOD-PRODUCING ANIMALS ........................................................................................................ 74","7.3  
식용동물................................................................................................................................................. 74",0.88186336,0.95
"7.3.1
소............................................................................................................................................ 76","7.3.1 
CATTLE ........................................................................................................................... 76","7.3.1  
소............................................................................................................................................ 76",0.97879815,0.95
"7.3.1.1
식용동물 시장의 가장 큰 비중을 차지하는 소.......................................................................................................... 76","7.3.1.1 
Cattle account for the largest share of the food-producing  
animals market ................................................................................................. 76","7.3.1.1  
식용동물 시장의 가장 큰 비중을 차지하는 소.......................................................................................................... 76",0.92115414,0.95
"7.3.2
돼지.............................................................................................................................. 77","7.3.2 
PIGS .............................................................................................................................. 77","7.3.2
돼지.............................................................................................................................. 77",0.97704935,0.95
"7.3.2.1
돼지고기 소비의 증가로 인한 구충제 수요 상승................................................................ 77","7.3.2.1 
Growing pork consumption to drive the demand for parasiticides ........................ 77","7.3.2.1  
돼지고기 소비의 증가로 인한 구충제 수요 상승................................................................ 77",0.83924866,0.95
"7.3.3
가금류........................................................................................................................ 78","7.3.3 
POULTRY ........................................................................................................................ 78","7.3.3  
가금류........................................................................................................................ 78",0.95395875,0.95
"7.3.3.1
신흥국가의 달걀 소비 증가로 인한 가금류 구충제 시장의 성장.................................................................... 78","7.3.3.1 
Growing egg consumption in emerging countries drives the growth of 
the parasiticides market for poultry .................................................................... 78","7.3.3.1  
신흥국가의 달걀 소비 증가로 인한 가금류 구충제 시장의 성장.................................................................... 78",0.8245176,0.95
