source,target,confidence,notes,page,chunk
"7.3.1
소............................................................................................................................................ 76","7.3.1 
CATTLE ........................................................................................................................... 76",0.95,Direct translation,5,1
"7.3.1.1
식용동물 시장의 가장 큰 비중을 차지하는 소.......................................................................................................... 76","7.3.1.1 
Cattle account for the largest share of the food-producing  
animals market ................................................................................................. 76",0.95,Direct translation with minor formatting differences,5,1
"7.3.2
돼지.............................................................................................................................. 77","7.3.2 
PIGS .............................................................................................................................. 77",0.95,Direct translation of the term 'pigs' and matching section numbers.,5,2
"7.3.2.1
돼지고기 소비의 증가로 인한 구충제 수요 상승................................................................ 77","7.3.2.1 
Growing pork consumption to drive the demand for parasiticides ........................ 77",0.95,Both texts discuss the increase in pork consumption leading to higher demand for parasiticides.,5,2
"7.3.3
가금류........................................................................................................................ 78","7.3.3 
POULTRY ........................................................................................................................ 78",0.95,Direct translation of 'poultry' with matching section numbers.,5,2
"7.3.3.1
신흥국가의 달걀 소비 증가로 인한 가금류 구충제 시장의 성장.................................................................... 78","7.3.3.1 
Growing egg consumption in emerging countries drives the growth of 
the parasiticides market for poultry .................................................................... 78",0.95,Both texts describe the impact of increased egg consumption in emerging markets on the growth of the poultry parasiticides market.,5,2
"7.3.4
양/염소............................................................................................................. 80","7.3.4 
SHEEP & GOATS ............................................................................................................. 80",0.95,Direct translation of 'sheep & goats' with matching section numbers.,5,2
"7.3.4.1
양/염소 고기 소비의 증가로 예상되는 시장의 성장.................................................................... 80","7.3.4.1 
Growth in the consumption of sheep and goat meat will support  
the market ........................................................................................................ 80",0.95,Both texts discuss the expected market growth due to increased consumption of sheep and goat meat.,5,2
"7.3.5
기타 식용동물.............................................................................................................. 81","7.3.5 
OTHER FOOD-PRODUCING ANIMALS .............................................................................. 81",0.95,Direct translation of 'other food-producing animals' with matching section numbers.,5,2
"8
시장 분석 및 예측: 최종사용자별............................................................................... 82","8 
ANIMAL PARASITICIDES MARKET, BY END USER ....................................................... 82",0.95,Both texts provide an overview of the market analysis and forecasts by end user.,5,2
"8.1
서론.................................................................................................................................... 83","8.1 
INTRODUCTION ............................................................................................................................ 83",0.95,Direct translation of 'introduction' with matching section numbers.,5,2
"8.2
동물병원/클리닉.............................................................................................................. 84","8.2 
VETERINARY HOSPITALS & CLINICS .............................................................................................. 84",0.95,Direct translation of 'veterinary hospitals & clinics' with matching section numbers.,5,2
"8.2.1
동물병원/클리닉의 동물용 기생충 구충제에 대한 높은 사용률로 인한 시장 성장......................................................................... 84","8.2.1 
HIGH ADOPTION OF ANIMAL PARASITICIDES IN VETERINARY HOSPITALS  
AND CLINICS DRIVES MARKET GROWTH ......................................................................... 84",0.95,Both texts discuss the market growth driven by high usage rates of animal parasiticides in veterinary hospitals and clinics.,5,2
"8.3
동물농장............................................................................................................................ 85","8.3 
ANIMAL FARMS ............................................................................................................................ 85",0.95,Direct translation of 'animal farms' with matching section numbers.,5,2
"8.3.1
가축의 기생충 감염증 발병 증가로 인한 시장 성장............................................................................................ 85","8.3.1 
INCREASING INCIDENCES OF PARASITIC INFECTIONS IN LIVESTOCK 
ANIMALS TO SUPPORT MARKET GROWTH ....................................................................... 85",0.95,Both texts discuss market growth due to increasing incidences of parasitic infections in livestock.,5,2
"8.4
홈케어................................................................................................................................. 86","8.4 
HOME CARE SETTINGS ................................................................................................................. 86",0.95,Direct translation of 'home care settings' with matching section numbers.,5,2
"8.4.1
반려동물에 대한 소유율 상승과 인식 개선으로 인한 홈케어 시장의 성장.................................................................... 86","8.4.1 
RISING PET OWNERSHIP RATES AND AWARENESS DRIVE MARKET GROWTH 
IN THIS SEGMENT ........................................................................................................... 86",0.95,Both texts discuss the growth of the home care market due to rising pet ownership rates and increased awareness.,5,2
2020년 5월 © MarketsandMarkets™,MAY 2020 © MarketsandMarkets™,0.95,Direct translation of the publication date and copyright notice.,5,2
"
9
시장
 분석
 및
 예측:
 지역/주요
 국가별............................................................................................................................ 87","9 
ANIMAL PARASITICIDES MARKET, BY REGION .......................................................... 87",0.95,Direct translation of section title with formatting differences,6,1
"
9.1
서론................................................................................................................................................................................ 88","9.1 
INTRODUCTION ............................................................................................................................ 88",0.95,Direct translation of section title,6,1
"
9.2
북미.................................................................................................................................................................................. 89","9.2 
NORTH AMERICA .......................................................................................................................... 89",0.95,Direct translation of section title,6,1
"
9.2.1
미국.......................................................................................................................................................................... 92","9.2.1 
US ................................................................................................................................. 92",0.95,Direct translation of section title,6,1
"
9.2.1.1
반려동물
 관련
 지출
 및
 육류
 소비의
 증가가
 주도하는
 미국
 시장의
 성장.................................................................................. 92","9.2.1.1 
Rising pet expenditure and increasing meat consumption are driving 
the market in the US .......................................................................................... 92",0.95,Direct translation of section content,6,1
"
9.2.2
캐나다.......................................................................................................................................................................... 97","9.2.2 
CANADA ......................................................................................................................... 97",0.95,Direct translation of section title,6,1
"
9.2.2.1
반려동물
 입양률
 상승으로
 인한
 캐나다
 시장의
 성장.................................................................................................... 97","9.2.2.1 
Growing pet adoption rate to drive the market in Canada .................................... 97",0.95,Direct translation of section content,6,1
"
9.3
유럽................................................................................................................................................................................ 100","9.3 
EUROPE .................................................................................................................................... 100",0.95,Direct translation of section title,6,1
"
9.3.1
독일.......................................................................................................................................................................... 104","9.3.1 
GERMANY .................................................................................................................... 104",0.95,Direct translation of section title,6,1
"
9.3.1.1
유럽
 시장의
 최대
 비중을
 차지하는
 독일.................................................................................................. 104","9.3.1.1 
Germany holds the largest share in the European market .................................. 104",0.95,Direct translation of section content,6,1
"
9.3.2
영국.......................................................................................................................................................................... 108","9.3.2 
UK ............................................................................................................................... 108",0.95,Direct translation of section title,6,1
"
9.3.2.1
반려동물
 소유
 증가로
 예상되는
 시장
 성장.................................................................................................. 108","9.3.2.1 
Increasing pet ownership is expected to drive market growth ............................ 108",0.95,Direct translation of section content,6,1
"
9.3.3
프랑스.......................................................................................................................................................................... 111","9.3.3 
FRANCE ....................................................................................................................... 111",0.95,Direct translation of section title,6,1
"
9.3.3.1
핵심
 기업에
 의한
 프랑스의
 전체
 시장에
 대한
 고점유율.................................................................................. 111","9.3.3.1 
Presence of major players has ensured the strong share of France in 
the overall market ........................................................................................... 111",0.95,Direct translation of section content,6,1
"
9.3.4
스페인.......................................................................................................................................................................... 114","9.3.4 
SPAIN .......................................................................................................................... 114",0.95,Direct translation of section title,6,1
"
9.3.4.1
동물보건
 비용
 지출로
 예상되는
 시장
 성장.................................................................................................. 114","9.3.4.1 
Increasing animal health expenditure is expected to drive market 
growth............................................................................................................. 114",0.95,Direct translation of section content,6,1
"
9.3.5
이탈리아.......................................................................................................................................................................... 117","9.3.5 
ITALY ............................................................................................................................ 117",0.95,Direct translation of section title,6,1
"
세계의 동물용 기생충 구충제 시장 - 2025년 글로벌 전망",ANIMAL PARASITICIDES MARKET - GLOBAL FORECAST TO 2025,0.95,"Direct translation with high confidence, slight rephrasing in Korean for natural flow.",7,1
"9.6
중동 및 아프리카······································································································································ 150","9.6 
MIDDLE EAST AND AFRICA ......................................................................................................... 150",0.95,Direct translation with matching section numbers and page numbers.,7,1
